#         x                 p                rho                u        
-4.6693386774e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.6292585170e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.5891783567e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.5490981964e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.5090180361e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.4689378758e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.4288577154e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.3887775551e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.3486973948e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.3086172345e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.2685370741e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.2284569138e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.1883767535e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.1482965932e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.1082164329e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.0681362725e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-4.0280561122e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.9879759519e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.9478957916e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.9078156313e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.8677354709e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.8276553106e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.7875751503e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.7474949900e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.7074148297e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.6673346693e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.6272545090e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.5871743487e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.5470941884e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.5070140281e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.4669338677e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.4268537074e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.3867735471e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.3466933868e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
